ORGANISM_NAME,ORGANISM_ID,STRAIN_IDS,SOURCE,STRAIN_IDENTIFICATION,COLLECT_DATE,COLLECT_COUNTRY,COLLECT_REGION,COLLECT_SPECIE,COLLECT_TISSUE,DRUG_NAME,DRUG_CLASS,DRUG_SUBCLASS,ANTIMICRO,ANTIMICRO_CLASS,BMD_MIC,MIC_UNIT,BMD_BP
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Azithromycin,Transpeptidation,Macrolide,Bacteria,Macrolide,64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Aztreonam,Beta-lactam,Monobactam,Bacteria,Monobactam,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefalotin,Beta-lactam,Cephalosporin (1st),Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,>64,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefotaxime,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefoxitin,Beta-lactam,Cephalosporin (2nd),Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftaroline,Beta-lactam,Cephalosporin (5th); anti-MRSA,Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Chloramphenicol,Peptidyl transferase,Amphenicol,Bacteria,Phenicol,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Doripenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ertapenem,Beta-lactam,Carbapenem,Bacteria,Carbapenem,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Fosfomycin,NAM synthesis,Phosphonic Acid,Bacteria,Phosphonic Acid,256,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Levofloxacin,Quinolone,Fluoroquinolone (3rd) antipseudomonal,Bacteria,Fluoroquinolone,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Amoxicillin|Clavulanic acid,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|2,ug/mL|ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ampicillin|Sulbactam,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|4,ug/mL|ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Minocycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Nalidixic acid,Quinolone,Quinolone (1st),Bacteria,Quinolone,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Nitrofurantoin,NitroAromatic,Nitrofuran,Bacteria,Nitro Aromatic,>128,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ofloxacin,Quinolone,Fluoroquinolone (2nd),Bacteria,Fluoroquinolone,32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Piperacillin,Beta-lactam,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin,>32,ug/mL,I
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|4,ug/mL|ug/mL,I
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Polymyxin B,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Streptomycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ticarcillin,Beta-lactam,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ticarcillin|Clavulanic acid,Beta-lactam|BLI,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|2,ug/mL|ug/mL,I
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,>64|1216,ug/mL|ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Netilmicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,64,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Carbenicillin,Beta-lactam,CarboxyPenicillin,Bacteria,Penicillin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefuroxime,Beta-lactam,Cephalosporin (2ns); Non-extended spectrum,Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Tobramycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Colistin,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Moxifloxacin,Quinolone,Fluoroquinolone (4th),Bacteria,Fluoroquinolone,32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Moxifloxacin,Quinolone,Fluoroquinolone (4th),Bacteria,Fluoroquinolone,32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Nalidixic acid,Quinolone,Quinolone (1st),Bacteria,Quinolone,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ticarcillin,Beta-lactam,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin,>32,ug/mL,
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Tobramycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,16,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,>64|1216,ug/mL|ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefoxitin,Beta-lactam,Cephalosporin (2nd),Bacteria,Cephalosporin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftaroline,Beta-lactam,Cephalosporin (5th); anti-MRSA,Bacteria,Cephalosporin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefuroxime,Beta-lactam,Cephalosporin (2ns); Non-extended spectrum,Bacteria,Cephalosporin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Chloramphenicol,Peptidyl transferase,Amphenicol,Bacteria,Phenicol,8,ug/mL,S
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Colistin,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Doxycycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ertapenem,Beta-lactam,Carbapenem,Bacteria,Carbapenem,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Fosfomycin,NAM synthesis,Phosphonic Acid,Bacteria,Phosphonic Acid,256,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,2,ug/mL,S
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Levofloxacin,Quinolone,Fluoroquinolone (3rd) antipseudomonal,Bacteria,Fluoroquinolone,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Netilmicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,>64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Nitrofurantoin,NitroAromatic,Nitrofuran,Bacteria,Nitro Aromatic,>128,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ofloxacin,Quinolone,Fluoroquinolone (2nd),Bacteria,Fluoroquinolone,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Polymyxin B,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Streptomycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,64,ug/mL,
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Aztreonam,Beta-lactam,Monobactam,Bacteria,Monobactam,>64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Carbenicillin,Beta-lactam,CarboxyPenicillin,Bacteria,Penicillin,>32,ug/mL,
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefalotin,Beta-lactam,Cephalosporin (1st),Bacteria,Cephalosporin,>32,ug/mL,
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Minocycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|4,ug/mL|ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ticarcillin|Clavulanic acid,Beta-lactam|BLI,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|2,ug/mL|ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amoxicillin|Clavulanic acid,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|2,ug/mL|ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin|Sulbactam,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>64|4,ug/mL|ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,>64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Azithromycin,Transpeptidation,Macrolide,Bacteria,Macrolide,>64,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefotaxime,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Doripenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Piperacillin,Beta-lactam,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin,>32,ug/mL,R
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Moxifloxacin,Quinolone,Fluoroquinolone (4th),Bacteria,Fluoroquinolone,>32,ug/mL,R
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>32,ug/mL,R
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Ticarcillin,Beta-lactam,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin,>32,ug/mL,
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Tobramycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,4,ug/mL,R
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,0.5,ug/mL,S
Serratia marcescens,Sm-0756-BR,SMA 7,"UNIFESP  (Sao Paulo, Brazil)",Collaborator: Serratia marcescens (MALDI-TOF),2020-01-05,Brazil,Sao Paulo,Human,Infection,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
