ORGANISM_NAME,ORGANISM_ID,STRAIN_IDS,SOURCE,STRAIN_IDENTIFICATION,COLLECT_DATE,COLLECT_COUNTRY,COLLECT_REGION,COLLECT_SPECIE,COLLECT_TISSUE,DRUG_NAME,DRUG_CLASS,DRUG_SUBCLASS,ANTIMICRO,ANTIMICRO_CLASS,VITEK_MIC,VITEK_BP,CARD_CODE,BP_SOURCE
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,R,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,<= 2,S,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,<= 1,S,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftazidime,Beta-lactam,Cephalosporin (3rd); Extended spectrum antipseudomonal,Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,<= 20,S,AST-N411,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,<= 1,S,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ticarcillin|Clavulanic acid,Beta-lactam|BLI,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,R,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Enrofloxacin,Quinolone,,Bacteria,Quinolone,>= 4,R,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Marbofloxacin,Quinolone,,Bacteria,Quinolone,2,I,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>= 16,R,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftiofur,Beta-lactam,Cephalosporin (3rd),Bacteria,Cephalosporin,>= 8,R,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Polymyxin B,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,1,S,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,<= 20,S,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-GN96,CLSI
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,,,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,IE,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,,,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,<= 2,S,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefoxitin,Beta-lactam,Cephalosporin (2nd),Bacteria,Cephalosporin,,,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,<= 1,S,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,>= 4,R,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,,,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,<= 20,S,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,<= 1,S,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,,,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Amoxicillin|Clavulanic acid,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,,,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ticarcillin|Clavulanic acid,Beta-lactam|BLI,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,IE,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefalexin,Beta-lactam,Cephalosporin (1st),Bacteria,Cephalosporin,,,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,,,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,<= 20,S,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-GN96,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,,,AST-N411,EUCAST
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftazidime,Beta-lactam,Cephalosporin (3rd); Extended spectrum antipseudomonal,Bacteria,Cephalosporin,,,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>= 32,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,>= 32,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ertapenem,Beta-lactam,Carbapenem,Bacteria,Carbapenem,>= 8,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,16,S,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefoxitin,Beta-lactam,Cephalosporin (2nd),Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,2,S,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftazidime,Beta-lactam,Cephalosporin (3rd); Extended spectrum antipseudomonal,Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,>= 4,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>= 64,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,>= 320,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftolozane|Tazobactam,Beta-lactam|BLI,Cephalosporin (5th),Bacteria,Cephalosporin,>= 32,R,AST-N411,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,ESBL,,,,,NEG,-,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,4,S,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>= 32,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Neomycin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,4,S,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amoxicillin|Clavulanic acid,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 32,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Flumequine,Quinolone,Fluoroquinolone (1st),Bacteria,Fluoroquinolone,>= 32,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ticarcillin|Clavulanic acid,Beta-lactam|BLI,CarboxyPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Enrofloxacin,Quinolone,,Bacteria,Quinolone,>= 4,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Marbofloxacin,Quinolone,,Bacteria,Quinolone,>= 4,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefalotin,Beta-lactam,Cephalosporin (1st),Bacteria,Cephalosporin,>= 64,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Tetracycline,Tetracycline,Tetracycline,Bacteria,Tetracycline,>= 16,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefoperazone,Beta-lactam,Cephalosporin (3rd),Bacteria,Cephalosporin,>= 64,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Florfenicol,,,,Phenicol,16,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftiofur,Beta-lactam,Cephalosporin (3rd),Bacteria,Cephalosporin,>= 8,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Polymyxin B,Peptide,Cyclic Cationic Peptide,Bacteria,Polymyxin,>= 16,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefquinome,Beta-lactam,Cephalosporin (4th),Bacteria,Cephalosporin,>= 8,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,>= 320,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Imipenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-GN96,CLSI
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>= 32,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,>= 32,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amoxicillin|Clavulanic acid,Beta-lactam|BLI,Aminopenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 32,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ertapenem,Beta-lactam,Carbapenem,Bacteria,Carbapenem,>= 8,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Piperacillin|Tazobactam,Beta-lactam|BLI,UreidoPenicillin; antipseudomomal,Bacteria,Penicillin|BLI,>= 128,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Meropenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>= 16,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Amikacin,Aminoglycoside,Streptomyces,Bacteria,Aminoglycoside,16,I,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,2,S,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftazidime,Beta-lactam,Cephalosporin (3rd); Extended spectrum antipseudomonal,Bacteria,Cephalosporin,>= 64,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,>= 4,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>= 64,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Trimethoprim|Sulfamethoxazole,DHFR inhibitor,,Bacteria,Folate inhibitor,>= 320,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ceftolozane|Tazobactam,Beta-lactam|BLI,Cephalosporin (5th),Bacteria,Cephalosporin,>= 32,R,AST-N411,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,ESBL,,,,,NEG,-,AST-GN96,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,4,I,AST-GN96,EUCAST
Klebsiella pneumoniae,Kp-0574-TH,CTR 176-S04,"Mahidol University (Bangkok, Thailand)",Collaborator: Klebsiella pneumoniae (Biochemical),2017-10-26,Thailand,Bangkok,Human,Sputum,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>= 32,R,AST-GN96,EUCAST
